DBYHS_SPCHCKN,WIND_SPEED,AIR_VELOCITY,TEMPERATURE,HUMIDITY,ILLUMINATION_INTENSITY,CARBON_DIOXIDE
2,0.0,0.0,12.9,97.4,197.8,1456.0
2,0.0,0.0,12.9,97.4,197.8,1456.0
2,0.0,0.0,13.1,92.2,0.0,1424.0
2,0.0,0.0,13.1,92.2,0.0,1424.0
2,0.0,0.0,13.1,92.2,0.0,1424.0
2,0.0,0.0,13.2,91.5,0.0,1381.0
2,0.0,0.0,13.2,91.5,0.0,1381.0
2,0.0,0.0,13.2,91.5,0.0,1381.0
2,0.0,0.0,13.0,92.3,0.0,1328.0
2,0.0,0.0,13.0,92.3,0.0,1328.0
2,0.0,0.0,13.0,92.3,0.0,1328.0
2,0.0,0.0,18.3,99.1,0.0,1381.0
2,0.0,0.0,18.3,99.1,0.0,1381.0
2,0.0,0.0,18.3,99.1,0.0,1381.0
2,0.0,0.0,17.3,95.6,0.0,1321.0
2,0.0,0.0,17.3,95.6,0.0,1321.0
2,0.0,0.0,17.3,95.6,0.0,1321.0
2,0.0,0.0,18.1,95.4,0.0,1318.0
2,0.0,0.0,18.1,95.4,0.0,1318.0
2,0.0,0.0,18.1,95.4,0.0,1318.0
2,0.0,0.0,17.1,95.4,0.0,1278.0
2,0.0,0.0,17.1,95.4,0.0,1278.0
2,0.0,0.0,17.1,95.4,0.0,1278.0
2,0.0,0.0,17.8,95.1,0.0,1278.0
2,0.0,0.0,17.8,95.1,0.0,1278.0
2,0.0,0.0,17.8,95.1,0.0,1278.0
2,0.0,0.0,18.4,97.6,0.0,1229.0
2,0.0,0.0,18.4,97.6,0.0,1229.0
2,0.0,0.0,18.2,97.8,0.0,1244.0
2,0.0,0.0,18.9,96.7,0.0,1266.0
2,0.0,0.0,18.9,96.7,0.0,1266.0
2,0.0,0.0,18.5,97.5,0.0,1244.0
2,0.0,0.0,18.5,97.5,0.0,1244.0
2,0.0,0.0,18.2,97.8,0.0,1259.0
2,0.0,0.0,19.0,97.6,0.0,1266.0
2,0.0,0.0,19.0,97.6,0.0,1266.0
2,0.0,0.0,18.6,97.8,18.5,1274.0
2,0.0,0.0,18.2,97.2,0.0,1274.0
2,0.0,0.0,18.2,97.2,0.0,1274.0
